method,threshold,pseudo_labels_kept,best_val_acc,visible_best_macro_f1,output_file,kaggle_public_score,comment
Supervised,-,0,0.5000,0.4567,mlp_supervised.csv,,baseline using labelled data only
Pseudo-labeling,0.80,1001,0.4000,0.4233,mlp_pseudo_080.csv,,many pseudo-labels but lower validation accuracy
Pseudo-labeling,0.85,634,0.4000,0.4400,mlp_pseudo_085.csv,,better Macro-F1 among pseudo-labeling runs
Pseudo-labeling,0.90,349,0.3500,0.4000,mlp_pseudo_090.csv,,fewer pseudo-labels and lower accuracy
Pseudo-labeling,0.95,73,0.4000,0.4300,mlp_pseudo_095.csv,,too few pseudo-labels
